timestamp,volume
1712332091703160826,19.3212890625
1712332091747774120,13.6572265625
1712332091811730482,16.6689453125
1712332091876724661,6.2705078125
1712332091940798691,22.2412109375
1712332092004858405,23.9619140625
1712332092069443454,15.220703125
1712332092132894834,15.994140625
1712332092196735585,17.0908203125
1712332092260697540,20.673828125
1712332092324678588,8.24609375
1712332092389794471,51.1337890625
1712332092453716408,61.255859375
1712332092517697567,53.390625
1712332092581690188,56.74609375
1712332092645685514,54.4462890625
1712332092709711210,64.0078125
1712332092773688387,51.0712890625
1712332092837698213,49.04296875
1712332092901686538,46.2890625
1712332092966681977,54.8515625
1712332093030725376,44.4697265625
1712332093094717591,52.46484375
1712332093158738601,39.2216796875
1712332093222741927,37.6728515625
1712332093286731327,38.037109375
1712332093350731800,39.716796875
1712332093414737700,34.201171875
1712332093479728453,28.02734375
1712332093543730741,30.4111328125
1712332093607727585,41.16796875
1712332093671743818,27.0009765625
1712332093735884033,47.830078125
1712332093799910155,25.921875
1712332093863871610,29.962890625
1712332093927865306,26.1552734375
1712332093991810465,25.13671875
1712332094056760236,29.4404296875
1712332094120811932,20.52734375
1712332094184789128,31.1884765625
1712332094248786657,45.0625
1712332094312793242,13.220703125
1712332094376771438,31.36328125
1712332094440788393,34.0576171875
1712332094504791700,21.78125
1712332094568801156,21.3955078125
1712332094633794279,12.951171875
1712332094697788419,12.1904296875
1712332094761791837,21.81640625
1712332094825803404,11.1953125
1712332094889808192,23.7216796875
1712332094953806370,18.6494140625
1712332095017802566,13.18359375
1712332095081814095,14.6025390625
1712332095146832181,21.236328125
1712332095210836044,16.3251953125
1712332095274842129,15.1396484375
1712332095338828028,11.771484375
1712332095402854854,9.2119140625
1712332095466839328,15.294921875
1712332095530851986,23.2255859375
1712332095594860386,16.5751953125
1712332095659881361,21.86328125
